Boss,Character,Profile,Floor,Runs,Wins,Win rate %,Average seconds,Average player HP %
"Страж","sasha",poor,5,30,0,0.00,7.49,0.00
"Страж","sasha",mid,5,30,30,100.00,10.34,50.43
"Страж","sasha",rich,5,30,30,100.00,3.35,95.02
"Страж","jennifer",poor,6,30,0,0.00,15.96,0.00
"Страж","jennifer",mid,6,30,30,100.00,19.03,99.24
"Страж","jennifer",rich,6,30,30,100.00,2.75,100.00
"Страж","violet",poor,6,30,0,0.00,7.65,0.00
"Страж","violet",mid,6,30,30,100.00,21.69,69.70
"Страж","violet",rich,6,30,30,100.00,2.80,100.00
"Страж","sasha",poor,6,30,0,0.00,7.56,0.00
"Страж","sasha",mid,6,30,30,100.00,11.32,25.03
"Страж","sasha",rich,6,30,30,100.00,3.60,92.87
"Страж","jennifer",poor,7,30,0,0.00,12.65,0.00
"Страж","jennifer",mid,7,30,30,100.00,21.59,89.67
"Страж","jennifer",rich,7,30,30,100.00,3.30,100.00
"Страж","violet",poor,7,30,0,0.00,7.04,0.00
"Страж","violet",mid,7,30,16,53.33,23.01,18.92
"Страж","violet",rich,7,30,30,100.00,3.11,100.00
"Страж","sasha",poor,7,30,0,0.00,7.61,0.00
"Страж","sasha",mid,7,30,24,80.00,12.22,8.38
"Страж","sasha",rich,7,30,30,100.00,4.21,89.18
"Страж","jennifer",poor,8,30,0,0.00,10.73,0.00
"Страж","jennifer",mid,8,30,30,100.00,24.85,61.13
"Страж","jennifer",rich,8,30,30,100.00,3.80,100.00
"Страж","violet",poor,8,30,0,0.00,6.43,0.00
"Страж","violet",mid,8,30,1,3.33,20.26,0.28
"Страж","violet",rich,8,30,30,100.00,3.52,100.00
"Страж","sasha",poor,8,30,0,0.00,7.56,0.00
"Страж","sasha",mid,8,30,22,73.33,14.08,4.40
"Страж","sasha",rich,8,30,30,100.00,4.79,88.33
"Страж","jennifer",poor,9,30,0,0.00,9.79,0.00
"Страж","jennifer",mid,9,30,9,30.00,28.29,3.50
"Страж","jennifer",rich,9,30,30,100.00,4.01,100.00
"Страж","violet",poor,9,30,0,0.00,6.07,0.00
"Страж","violet",mid,9,30,0,0.00,18.34,0.00
"Страж","violet",rich,9,30,30,100.00,3.92,100.00
"Страж","sasha",poor,9,30,0,0.00,7.52,0.00
"Страж","sasha",mid,9,30,0,0.00,13.15,0.00
"Страж","sasha",rich,9,30,30,100.00,5.60,79.51
"Страж","jennifer",poor,10,30,0,0.00,8.40,0.00
"Страж","jennifer",mid,10,30,0,0.00,23.51,0.00
"Страж","jennifer",rich,10,30,30,100.00,5.34,100.00
"Страж","violet",poor,10,30,0,0.00,5.29,0.00
"Страж","violet",mid,10,30,0,0.00,14.97,0.00
"Страж","violet",rich,10,30,30,100.00,4.20,100.00
"Страж","sasha",poor,10,30,0,0.00,7.38,0.00
"Страж","sasha",mid,10,30,0,0.00,11.46,0.00
"Страж","sasha",rich,10,30,30,100.00,6.12,71.52
"Тюремщик","jennifer",poor,4,30,0,0.00,9.50,0.00
"Тюремщик","jennifer",mid,4,30,30,100.00,19.63,100.00
"Тюремщик","jennifer",rich,4,30,30,100.00,2.70,100.00
"Тюремщик","violet",poor,4,30,0,0.00,4.21,0.00
"Тюремщик","violet",mid,4,30,18,60.00,20.69,19.33
"Тюремщик","violet",rich,4,30,30,100.00,3.00,100.00
"Тюремщик","sasha",poor,4,30,0,0.00,4.56,0.00
"Тюремщик","sasha",mid,4,30,30,100.00,9.27,15.28
"Тюремщик","sasha",rich,4,30,30,100.00,3.43,92.60
"Тюремщик","jennifer",poor,5,30,0,0.00,8.29,0.00
"Тюремщик","jennifer",mid,5,30,30,100.00,22.71,87.31
"Тюремщик","jennifer",rich,5,30,30,100.00,3.22,100.00
"Тюремщик","violet",poor,5,30,0,0.00,4.36,0.00
"Тюремщик","violet",mid,5,30,4,13.33,19.37,2.40
"Тюремщик","violet",rich,5,30,30,100.00,3.34,100.00
"Тюремщик","sasha",poor,5,30,0,0.00,4.67,0.00
"Тюремщик","sasha",mid,5,30,12,40.00,10.06,3.46
"Тюремщик","sasha",rich,5,30,30,100.00,3.98,88.71
"Тюремщик","jennifer",poor,6,30,0,0.00,7.25,0.00
"Тюремщик","jennifer",mid,6,30,3,10.00,24.85,0.71
"Тюремщик","jennifer",rich,6,30,30,100.00,3.69,100.00
"Тюремщик","violet",poor,6,30,0,0.00,4.33,0.00
"Тюремщик","violet",mid,6,30,0,0.00,15.49,0.00
"Тюремщик","violet",rich,6,30,30,100.00,3.50,100.00
"Тюремщик","sasha",poor,6,30,0,0.00,4.98,0.00
"Тюремщик","sasha",mid,6,30,0,0.00,10.08,0.00
"Тюремщик","sasha",rich,6,30,30,100.00,4.33,84.44
"Часовой Титан","jennifer",poor,5,30,0,0.00,13.20,0.00
"Часовой Титан","jennifer",mid,5,30,30,100.00,26.79,100.00
"Часовой Титан","jennifer",rich,5,30,30,100.00,4.06,100.00
"Часовой Титан","violet",poor,5,30,0,0.00,5.47,0.00
"Часовой Титан","violet",mid,5,30,5,16.67,28.19,2.76
"Часовой Титан","violet",rich,5,30,30,100.00,3.95,100.00
"Часовой Титан","sasha",poor,5,30,0,0.00,5.65,0.00
"Часовой Титан","sasha",mid,5,30,0,0.00,12.04,0.00
"Часовой Титан","sasha",rich,5,30,30,100.00,5.05,92.69
"Часовой Титан","jennifer",poor,6,30,0,0.00,13.37,0.00
"Часовой Титан","jennifer",mid,6,30,30,100.00,31.15,99.33
"Часовой Титан","jennifer",rich,6,30,30,100.00,4.71,100.00
"Часовой Титан","violet",poor,6,30,0,0.00,5.66,0.00
"Часовой Титан","violet",mid,6,30,1,3.33,26.80,0.07
"Часовой Титан","violet",rich,6,30,30,100.00,4.09,100.00
"Часовой Титан","sasha",poor,6,30,0,0.00,5.72,0.00
"Часовой Титан","sasha",mid,6,30,0,0.00,11.94,0.00
"Часовой Титан","sasha",rich,6,30,30,100.00,5.84,87.69
"Часовой Титан","jennifer",poor,7,30,0,0.00,11.15,0.00
"Часовой Титан","jennifer",mid,7,30,0,0.00,28.69,0.00
"Часовой Титан","jennifer",rich,7,30,30,100.00,5.93,100.00
"Часовой Титан","violet",poor,7,30,0,0.00,5.02,0.00
"Часовой Титан","violet",mid,7,30,0,0.00,19.87,0.00
"Часовой Титан","violet",rich,7,30,30,100.00,4.40,100.00
"Часовой Титан","sasha",poor,7,30,0,0.00,5.72,0.00
"Часовой Титан","sasha",mid,7,30,0,0.00,11.37,0.00
"Часовой Титан","sasha",rich,7,30,30,100.00,6.55,80.03
"Часовой Титан","jennifer",poor,8,30,0,0.00,9.73,0.00
"Часовой Титан","jennifer",mid,8,30,0,0.00,25.18,0.00
"Часовой Титан","jennifer",rich,8,30,30,100.00,6.93,100.00
"Часовой Титан","violet",poor,8,30,0,0.00,4.71,0.00
"Часовой Титан","violet",mid,8,30,0,0.00,16.00,0.00
"Часовой Титан","violet",rich,8,30,30,100.00,4.77,100.00
"Часовой Титан","sasha",poor,8,30,0,0.00,5.72,0.00
"Часовой Титан","sasha",mid,8,30,0,0.00,12.56,0.00
"Часовой Титан","sasha",rich,8,30,30,100.00,7.41,69.60
"Тень-близнец","jennifer",poor,3,30,0,0.00,13.54,0.00
"Тень-близнец","jennifer",mid,3,30,30,100.00,12.25,100.00
"Тень-близнец","jennifer",rich,3,30,30,100.00,1.80,100.00
"Тень-близнец","violet",poor,3,30,0,0.00,8.39,0.00
"Тень-близнец","violet",mid,3,30,30,100.00,18.17,92.52
"Тень-близнец","violet",rich,3,30,30,100.00,2.97,100.00
"Тень-близнец","sasha",poor,3,30,0,0.00,7.02,0.00
"Тень-близнец","sasha",mid,3,30,30,100.00,8.80,65.89
"Тень-близнец","sasha",rich,3,30,30,100.00,4.07,96.43
"Тень-близнец","jennifer",poor,4,30,0,0.00,15.28,0.00
"Тень-близнец","jennifer",mid,4,30,30,100.00,14.09,100.00
"Тень-близнец","jennifer",rich,4,30,30,100.00,2.23,100.00
"Тень-близнец","violet",poor,4,30,0,0.00,9.59,0.00
"Тень-близнец","violet",mid,4,30,30,100.00,19.41,92.39
"Тень-близнец","violet",rich,4,30,30,100.00,3.48,100.00
"Тень-близнец","sasha",poor,4,30,0,0.00,7.11,0.00
"Тень-близнец","sasha",mid,4,30,30,100.00,10.31,57.50
"Тень-близнец","sasha",rich,4,30,30,100.00,4.77,95.99
"Тень-близнец","jennifer",poor,5,30,0,0.00,16.86,0.00
"Тень-близнец","jennifer",mid,5,30,30,100.00,16.49,100.00
"Тень-близнец","jennifer",rich,5,30,30,100.00,2.67,100.00
"Тень-близнец","violet",poor,5,30,0,0.00,10.52,0.00
"Тень-близнец","violet",mid,5,30,30,100.00,22.12,89.64
"Тень-близнец","violet",rich,5,30,30,100.00,3.75,100.00
"Тень-близнец","sasha",poor,5,30,0,0.00,7.63,0.00
"Тень-близнец","sasha",mid,5,30,30,100.00,11.66,45.52
"Тень-близнец","sasha",rich,5,30,30,100.00,5.48,93.86
"Свечник","jennifer",poor,7,30,0,0.00,8.60,0.00
"Свечник","jennifer",mid,7,30,0,0.00,26.73,0.00
"Свечник","jennifer",rich,7,30,30,100.00,8.04,100.00
"Свечник","violet",poor,7,30,0,0.00,4.81,0.00
"Свечник","violet",mid,7,30,0,0.00,17.70,0.00
"Свечник","violet",rich,7,30,30,100.00,6.35,100.00
"Свечник","sasha",poor,7,30,0,0.00,5.40,0.00
"Свечник","sasha",mid,7,30,0,0.00,10.07,0.00
"Свечник","sasha",rich,7,30,30,100.00,9.27,54.82
"Свечник","jennifer",poor,8,30,0,0.00,7.99,0.00
"Свечник","jennifer",mid,8,30,0,0.00,25.81,0.00
"Свечник","jennifer",rich,8,30,30,100.00,9.34,100.00
"Свечник","violet",poor,8,30,0,0.00,4.74,0.00
"Свечник","violet",mid,8,30,0,0.00,16.16,0.00
"Свечник","violet",rich,8,30,30,100.00,6.86,100.00
"Свечник","sasha",poor,8,30,0,0.00,5.38,0.00
"Свечник","sasha",mid,8,30,0,0.00,11.10,0.00
"Свечник","sasha",rich,8,30,30,100.00,10.02,40.96
"Свечник","jennifer",poor,9,30,0,0.00,6.78,0.00
"Свечник","jennifer",mid,9,30,0,0.00,21.50,0.00
"Свечник","jennifer",rich,9,30,30,100.00,10.95,100.00
"Свечник","violet",poor,9,30,0,0.00,4.38,0.00
"Свечник","violet",mid,9,30,0,0.00,13.53,0.00
"Свечник","violet",rich,9,30,30,100.00,7.28,100.00
"Свечник","sasha",poor,9,30,0,0.00,5.33,0.00
"Свечник","sasha",mid,9,30,0,0.00,10.07,0.00
"Свечник","sasha",rich,9,30,30,100.00,10.27,31.16
"Гончая Ямы","jennifer",poor,1,30,15,50.00,10.19,28.33
"Гончая Ямы","jennifer",mid,1,30,30,100.00,4.22,100.00
"Гончая Ямы","jennifer",rich,1,30,30,100.00,0.06,100.00
"Гончая Ямы","violet",poor,1,30,0,0.00,6.15,0.00
"Гончая Ямы","violet",mid,1,30,30,100.00,8.42,100.00
"Гончая Ямы","violet",rich,1,30,30,100.00,1.23,100.00
"Гончая Ямы","sasha",poor,1,30,0,0.00,5.20,0.00
"Гончая Ямы","sasha",mid,1,30,30,100.00,3.81,97.74
"Гончая Ямы","sasha",rich,1,30,30,100.00,2.15,98.42
"Гончая Ямы","jennifer",poor,2,30,30,100.00,11.60,73.00
"Гончая Ямы","jennifer",mid,2,30,30,100.00,5.84,100.00
"Гончая Ямы","jennifer",rich,2,30,30,100.00,0.78,100.00
"Гончая Ямы","violet",poor,2,30,0,0.00,7.99,0.00
"Гончая Ямы","violet",mid,2,30,30,100.00,9.32,100.00
"Гончая Ямы","violet",rich,2,30,30,100.00,1.33,100.00
"Гончая Ямы","sasha",poor,2,30,1,3.33,6.61,0.43
"Гончая Ямы","sasha",mid,2,30,30,100.00,4.33,95.38
"Гончая Ямы","sasha",rich,2,30,30,100.00,2.32,97.69
"Гончая Ямы","jennifer",poor,3,30,30,100.00,12.04,94.00
"Гончая Ямы","jennifer",mid,3,30,30,100.00,7.26,100.00
"Гончая Ямы","jennifer",rich,3,30,30,100.00,1.23,100.00
"Гончая Ямы","violet",poor,3,30,0,0.00,9.83,0.00
"Гончая Ямы","violet",mid,3,30,30,100.00,9.88,100.00
"Гончая Ямы","violet",rich,3,30,30,100.00,1.48,100.00
"Гончая Ямы","sasha",poor,3,30,9,30.00,7.98,3.82
"Гончая Ямы","sasha",mid,3,30,30,100.00,5.08,95.82
"Гончая Ямы","sasha",rich,3,30,30,100.00,2.32,97.97
"Каменный Идол","jennifer",poor,1,30,0,0.00,20.85,0.00
"Каменный Идол","jennifer",mid,1,30,30,100.00,17.75,100.00
"Каменный Идол","jennifer",rich,1,30,30,100.00,2.05,100.00
"Каменный Идол","violet",poor,1,30,0,0.00,7.77,0.00
"Каменный Идол","violet",mid,1,30,30,100.00,20.88,100.00
"Каменный Идол","violet",rich,1,30,30,100.00,3.41,100.00
"Каменный Идол","sasha",poor,1,30,0,0.00,7.50,0.00
"Каменный Идол","sasha",mid,1,30,30,100.00,12.76,62.00
"Каменный Идол","sasha",rich,1,30,30,100.00,2.72,97.99
"Каменный Идол","jennifer",poor,2,30,0,0.00,24.74,0.00
"Каменный Идол","jennifer",mid,2,30,30,100.00,20.19,100.00
"Каменный Идол","jennifer",rich,2,30,30,100.00,2.78,100.00
"Каменный Идол","violet",poor,2,30,0,0.00,12.25,0.00
"Каменный Идол","violet",mid,2,30,30,100.00,23.57,100.00
"Каменный Идол","violet",rich,2,30,30,100.00,3.83,100.00
"Каменный Идол","sasha",poor,2,30,0,0.00,8.75,0.00
"Каменный Идол","sasha",mid,2,30,30,100.00,13.24,59.15
"Каменный Идол","sasha",rich,2,30,30,100.00,3.09,97.15
"Каменный Идол","jennifer",poor,3,30,0,0.00,28.41,0.00
"Каменный Идол","jennifer",mid,3,30,30,100.00,24.10,100.00
"Каменный Идол","jennifer",rich,3,30,30,100.00,3.22,100.00
"Каменный Идол","violet",poor,3,30,0,0.00,14.86,0.00
"Каменный Идол","violet",mid,3,30,30,100.00,25.83,99.85
"Каменный Идол","violet",rich,3,30,30,100.00,4.32,100.00
"Каменный Идол","sasha",poor,3,30,0,0.00,10.96,0.00
"Каменный Идол","sasha",mid,3,30,30,100.00,15.33,55.37
"Каменный Идол","sasha",rich,3,30,30,100.00,3.46,96.98
"Каменный Идол","jennifer",poor,4,30,0,0.00,29.96,0.00
"Каменный Идол","jennifer",mid,4,30,30,100.00,27.30,100.00
"Каменный Идол","jennifer",rich,4,30,30,100.00,3.86,100.00
"Каменный Идол","violet",poor,4,30,0,0.00,16.71,0.00
"Каменный Идол","violet",mid,4,30,30,100.00,28.50,97.39
"Каменный Идол","violet",rich,4,30,30,100.00,4.83,100.00
"Каменный Идол","sasha",poor,4,30,0,0.00,12.59,0.00
"Каменный Идол","sasha",mid,4,30,30,100.00,17.73,45.47
"Каменный Идол","sasha",rich,4,30,30,100.00,3.42,97.34
"Пьяный Великан Ямы","jennifer",poor,3,30,0,0.00,18.80,0.00
"Пьяный Великан Ямы","jennifer",mid,3,30,30,100.00,13.30,100.00
"Пьяный Великан Ямы","jennifer",rich,3,30,30,100.00,2.38,100.00
"Пьяный Великан Ямы","violet",poor,3,30,0,0.00,7.52,0.00
"Пьяный Великан Ямы","violet",mid,3,30,30,100.00,17.62,99.56
"Пьяный Великан Ямы","violet",rich,3,30,30,100.00,2.79,100.00
"Пьяный Великан Ямы","sasha",poor,3,30,0,0.00,8.04,0.00
"Пьяный Великан Ямы","sasha",mid,3,30,30,100.00,9.82,72.42
"Пьяный Великан Ямы","sasha",rich,3,30,30,100.00,3.42,96.96
"Пьяный Великан Ямы","jennifer",poor,4,30,0,0.00,19.64,0.00
"Пьяный Великан Ямы","jennifer",mid,4,30,30,100.00,14.73,100.00
"Пьяный Великан Ямы","jennifer",rich,4,30,30,100.00,2.84,100.00
"Пьяный Великан Ямы","violet",poor,4,30,0,0.00,8.10,0.00
"Пьяный Великан Ямы","violet",mid,4,30,30,100.00,19.06,97.33
"Пьяный Великан Ямы","violet",rich,4,30,30,100.00,3.08,100.00
"Пьяный Великан Ямы","sasha",poor,4,30,0,0.00,8.04,0.00
"Пьяный Великан Ямы","sasha",mid,4,30,30,100.00,10.42,30.00
"Пьяный Великан Ямы","sasha",rich,4,30,30,100.00,3.96,96.31
"Пьяный Великан Ямы","jennifer",poor,5,30,0,0.00,20.41,0.00
"Пьяный Великан Ямы","jennifer",mid,5,30,30,100.00,17.21,100.00
"Пьяный Великан Ямы","jennifer",rich,5,30,30,100.00,3.47,100.00
"Пьяный Великан Ямы","violet",poor,5,30,0,0.00,8.34,0.00
"Пьяный Великан Ямы","violet",mid,5,30,30,100.00,22.48,87.60
"Пьяный Великан Ямы","violet",rich,5,30,30,100.00,3.35,100.00
"Пьяный Великан Ямы","sasha",poor,5,30,0,0.00,8.04,0.00
"Пьяный Великан Ямы","sasha",mid,5,30,30,100.00,11.54,18.40
"Пьяный Великан Ямы","sasha",rich,5,30,30,100.00,4.54,94.03
"Ледяная Плакальщица","jennifer",poor,4,30,0,0.00,16.99,0.00
"Ледяная Плакальщица","jennifer",mid,4,30,30,100.00,13.00,100.00
"Ледяная Плакальщица","jennifer",rich,4,30,30,100.00,2.25,100.00
"Ледяная Плакальщица","violet",poor,4,30,0,0.00,9.68,0.00
"Ледяная Плакальщица","violet",mid,4,30,9,30.00,27.01,11.00
"Ледяная Плакальщица","violet",rich,4,30,30,100.00,2.16,100.00
"Ледяная Плакальщица","sasha",poor,4,30,0,0.00,7.06,0.00
"Ледяная Плакальщица","sasha",mid,4,30,30,100.00,9.95,49.20
"Ледяная Плакальщица","sasha",rich,4,30,30,100.00,3.42,97.34
"Ледяная Плакальщица","jennifer",poor,5,30,0,0.00,18.30,0.00
"Ледяная Плакальщица","jennifer",mid,5,30,30,100.00,19.72,100.00
"Ледяная Плакальщица","jennifer",rich,5,30,30,100.00,2.70,100.00
"Ледяная Плакальщица","violet",poor,5,30,0,0.00,10.54,0.00
"Ледяная Плакальщица","violet",mid,5,30,11,36.67,29.94,17.16
"Ледяная Плакальщица","violet",rich,5,30,30,100.00,2.39,100.00
"Ледяная Плакальщица","sasha",poor,5,30,0,0.00,7.63,0.00
"Ледяная Плакальщица","sasha",mid,5,30,30,100.00,10.97,39.93
"Ледяная Плакальщица","sasha",rich,5,30,30,100.00,3.88,96.29
"Ледяная Плакальщица","jennifer",poor,6,30,0,0.00,19.84,0.00
"Ледяная Плакальщица","jennifer",mid,6,30,30,100.00,26.53,100.00
"Ледяная Плакальщица","jennifer",rich,6,30,30,100.00,3.01,100.00
"Ледяная Плакальщица","violet",poor,6,30,0,0.00,11.13,0.00
"Ледяная Плакальщица","violet",mid,6,30,10,33.33,31.68,12.30
"Ледяная Плакальщица","violet",rich,6,30,30,100.00,2.54,100.00
"Ледяная Плакальщица","sasha",poor,6,30,0,0.00,7.83,0.00
"Ледяная Плакальщица","sasha",mid,6,30,24,80.00,13.35,20.37
"Ледяная Плакальщица","sasha",rich,6,30,30,100.00,4.83,94.91
"Матерь Спор","jennifer",poor,2,30,18,60.00,12.49,11.00
"Матерь Спор","jennifer",mid,2,30,30,100.00,7.68,100.00
"Матерь Спор","jennifer",rich,2,30,30,100.00,1.32,100.00
"Матерь Спор","violet",poor,2,30,0,0.00,12.56,0.00
"Матерь Спор","violet",mid,2,30,17,56.67,10.75,7.33
"Матерь Спор","violet",rich,2,30,30,100.00,1.60,100.00
"Матерь Спор","sasha",poor,2,30,30,100.00,9.59,39.86
"Матерь Спор","sasha",mid,2,30,30,100.00,5.13,94.87
"Матерь Спор","sasha",rich,2,30,30,100.00,2.36,97.65
"Матерь Спор","jennifer",poor,3,30,16,53.33,15.01,9.78
"Матерь Спор","jennifer",mid,3,30,30,100.00,8.04,100.00
"Матерь Спор","jennifer",rich,3,30,30,100.00,1.53,100.00
"Матерь Спор","violet",poor,3,30,0,0.00,18.41,0.00
"Матерь Спор","violet",mid,3,30,30,100.00,11.69,25.63
"Матерь Спор","violet",rich,3,30,30,100.00,1.71,100.00
"Матерь Спор","sasha",poor,3,30,30,100.00,11.01,46.28
"Матерь Спор","sasha",mid,3,30,30,100.00,6.07,94.64
"Матерь Спор","sasha",rich,3,30,30,100.00,2.67,97.66
"Матерь Спор","jennifer",poor,4,30,30,100.00,16.14,28.17
"Матерь Спор","jennifer",mid,4,30,30,100.00,8.81,96.93
"Матерь Спор","jennifer",rich,4,30,30,100.00,1.80,100.00
"Матерь Спор","violet",poor,4,30,1,3.33,16.32,0.44
"Матерь Спор","violet",mid,4,30,30,100.00,12.46,36.67
"Матерь Спор","violet",rich,4,30,30,100.00,1.99,100.00
"Матерь Спор","sasha",poor,4,30,30,100.00,12.53,42.51
"Матерь Спор","sasha",mid,4,30,30,100.00,7.17,94.34
"Матерь Спор","sasha",rich,4,30,30,100.00,3.42,97.34
"Пепельный Инквизитор","jennifer",poor,7,30,0,0.00,5.40,0.00
"Пепельный Инквизитор","jennifer",mid,7,30,0,0.00,18.43,0.00
"Пепельный Инквизитор","jennifer",rich,7,30,30,100.00,6.96,100.00
"Пепельный Инквизитор","violet",poor,7,30,0,0.00,3.32,0.00
"Пепельный Инквизитор","violet",mid,7,30,0,0.00,8.76,0.00
"Пепельный Инквизитор","violet",rich,7,30,30,100.00,4.87,100.00
"Пепельный Инквизитор","sasha",poor,7,30,0,0.00,5.05,0.00
"Пепельный Инквизитор","sasha",mid,7,30,0,0.00,8.10,0.00
"Пепельный Инквизитор","sasha",rich,7,30,30,100.00,6.53,54.97
"Пепельный Инквизитор","jennifer",poor,8,30,0,0.00,4.99,0.00
"Пепельный Инквизитор","jennifer",mid,8,30,0,0.00,16.48,0.00
"Пепельный Инквизитор","jennifer",rich,8,30,30,100.00,7.91,99.93
"Пепельный Инквизитор","violet",poor,8,30,0,0.00,3.12,0.00
"Пепельный Инквизитор","violet",mid,8,30,0,0.00,7.96,0.00
"Пепельный Инквизитор","violet",rich,8,30,30,100.00,5.20,99.97
"Пепельный Инквизитор","sasha",poor,8,30,0,0.00,5.02,0.00
"Пепельный Инквизитор","sasha",mid,8,30,0,0.00,8.68,0.00
"Пепельный Инквизитор","sasha",rich,8,30,30,100.00,7.13,43.60
"Пепельный Инквизитор","jennifer",poor,9,30,0,0.00,4.52,0.00
"Пепельный Инквизитор","jennifer",mid,9,30,0,0.00,13.68,0.00
"Пепельный Инквизитор","jennifer",rich,9,30,30,100.00,8.85,98.27
"Пепельный Инквизитор","violet",poor,9,30,0,0.00,2.82,0.00
"Пепельный Инквизитор","violet",mid,9,30,0,0.00,6.92,0.00
"Пепельный Инквизитор","violet",rich,9,30,30,100.00,5.52,98.72
"Пепельный Инквизитор","sasha",poor,9,30,0,0.00,5.02,0.00
"Пепельный Инквизитор","sasha",mid,9,30,0,0.00,8.18,0.00
"Пепельный Инквизитор","sasha",rich,9,30,30,100.00,8.02,29.91
"Мясник Глубин","jennifer",poor,5,30,0,0.00,8.29,0.00
"Мясник Глубин","jennifer",mid,5,30,22,73.33,24.05,13.31
"Мясник Глубин","jennifer",rich,5,30,30,100.00,3.97,100.00
"Мясник Глубин","violet",poor,5,30,0,0.00,4.59,0.00
"Мясник Глубин","violet",mid,5,30,0,0.00,13.57,0.00
"Мясник Глубин","violet",rich,5,30,30,100.00,3.86,98.76
"Мясник Глубин","sasha",poor,5,30,0,0.00,6.04,0.00
"Мясник Глубин","sasha",mid,5,30,0,0.00,10.05,0.00
"Мясник Глубин","sasha",rich,5,30,30,100.00,4.70,81.68
"Мясник Глубин","jennifer",poor,6,30,0,0.00,8.32,0.00
"Мясник Глубин","jennifer",mid,6,30,0,0.00,26.41,0.00
"Мясник Глубин","jennifer",rich,6,30,30,100.00,4.33,99.77
"Мясник Глубин","violet",poor,6,30,0,0.00,4.67,0.00
"Мясник Глубин","violet",mid,6,30,0,0.00,12.60,0.00
"Мясник Глубин","violet",rich,6,30,30,100.00,4.10,97.48
"Мясник Глубин","sasha",poor,6,30,0,0.00,6.04,0.00
"Мясник Глубин","sasha",mid,6,30,0,0.00,10.03,0.00
"Мясник Глубин","sasha",rich,6,30,30,100.00,5.32,74.13
"Мясник Глубин","jennifer",poor,7,30,0,0.00,7.84,0.00
"Мясник Глубин","jennifer",mid,7,30,0,0.00,25.59,0.00
"Мясник Глубин","jennifer",rich,7,30,30,100.00,5.47,97.17
"Мясник Глубин","violet",poor,7,30,0,0.00,4.61,0.00
"Мясник Глубин","violet",mid,7,30,0,0.00,12.32,0.00
"Мясник Глубин","violet",rich,7,30,30,100.00,4.40,96.83
"Мясник Глубин","sasha",poor,7,30,0,0.00,6.04,0.00
"Мясник Глубин","sasha",mid,7,30,0,0.00,10.02,0.00
"Мясник Глубин","sasha",rich,7,30,30,100.00,6.29,63.43
"Ржавый Кузнец","jennifer",poor,3,30,0,0.00,11.79,0.00
"Ржавый Кузнец","jennifer",mid,3,30,30,100.00,16.06,100.00
"Ржавый Кузнец","jennifer",rich,3,30,30,100.00,2.41,100.00
"Ржавый Кузнец","violet",poor,3,30,0,0.00,5.64,0.00
"Ржавый Кузнец","violet",mid,3,30,26,86.67,20.63,38.89
