Boss,Character,Profile,Floor,Seed,Result,Virtual seconds,Player HP %,Abilities,Normal damage %,Heavy damage %,DoT damage %,RoomTick damage %
"Страж","jennifer",poor,1,18,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,19,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,20,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,21,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,22,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,23,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,24,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,25,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,26,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,27,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,28,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,29,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,30,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,1,Victory,8.04,100.00,"Страж поднимает щит:1",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,2,Victory,8.04,100.00,"Страж поднимает щит:1",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,3,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,4,Victory,9.50,100.00,"Страж поднимает щит:1",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,5,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,6,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,7,Victory,8.04,100.00,"Страж поднимает щит:1",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,8,Victory,11.36,100.00,"Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,9,Victory,12.06,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,10,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,11,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,12,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,13,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,14,Victory,11.96,100.00,"Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,15,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,16,Victory,12.06,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,17,Victory,11.36,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,18,Victory,12.06,100.00,"Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,19,Victory,11.36,100.00,"Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,20,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,21,Victory,8.04,100.00,"Страж поднимает щит:1",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,22,Victory,12.06,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,23,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,24,Victory,12.06,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,25,Victory,12.06,100.00,"Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,26,Victory,8.04,100.00,"Страж поднимает щит:1",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,27,Victory,12.06,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,28,Victory,8.04,100.00,"Страж поднимает щит:1",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,29,Victory,11.96,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",mid,1,30,Victory,12.06,100.00,"Сокрушительный замах:1; Страж поднимает щит:2",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,1,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,2,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,3,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,4,Victory,0.02,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,5,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,6,Victory,0.02,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,7,Victory,0.02,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,8,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,9,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,10,Victory,0.02,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,11,Victory,0.02,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,12,Victory,0.02,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,13,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,14,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,15,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,16,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,17,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,18,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,19,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,20,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,21,Victory,0.02,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,22,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,23,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,24,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,25,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,26,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,27,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,28,Victory,0.02,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,29,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","jennifer",rich,1,30,Victory,1.36,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",poor,1,1,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,2,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,3,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,4,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,5,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,6,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,7,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,8,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,9,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,10,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,11,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,12,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,13,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,14,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,15,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,16,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,17,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,18,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,19,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,20,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,21,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,22,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,23,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,24,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,25,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,26,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,27,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,28,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,29,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",poor,1,30,Defeat,2.52,0.00,"",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,1,Victory,16.84,80.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,2,Victory,16.42,73.33,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,3,Victory,17.68,60.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,4,Victory,16.42,86.67,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,5,Victory,16.84,100.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",0.00,0.00,0.00,0.00
"Страж","violet",mid,1,6,Victory,16.42,100.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",0.00,0.00,0.00,0.00
"Страж","violet",mid,1,7,Victory,16.84,93.33,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,8,Victory,16.84,46.67,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,9,Victory,16.84,66.67,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,10,Victory,16.84,93.33,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,11,Victory,16.84,100.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",0.00,0.00,0.00,0.00
"Страж","violet",mid,1,12,Victory,16.00,100.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",0.00,0.00,0.00,0.00
"Страж","violet",mid,1,13,Defeat,16.68,0.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,14,Victory,16.84,66.67,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,15,Victory,16.00,100.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",0.00,0.00,0.00,0.00
"Страж","violet",mid,1,16,Victory,15.58,93.33,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,17,Victory,16.42,66.67,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,18,Victory,16.42,93.33,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,19,Victory,17.68,93.33,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,20,Victory,16.84,46.67,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,21,Victory,16.00,93.33,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,22,Victory,16.42,93.33,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,23,Victory,17.26,100.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",0.00,0.00,0.00,0.00
"Страж","violet",mid,1,24,Victory,16.42,93.33,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,25,Victory,16.00,80.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,26,Victory,16.42,80.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",mid,1,27,Victory,16.00,100.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",0.00,0.00,0.00,0.00
"Страж","violet",mid,1,28,Victory,16.42,100.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",0.00,0.00,0.00,0.00
"Страж","violet",mid,1,29,Victory,15.58,100.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",0.00,0.00,0.00,0.00
"Страж","violet",mid,1,30,Victory,17.26,20.00,"Сокрушительный замах:1; Страж поднимает щит:2; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","violet",rich,1,1,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,2,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,3,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,4,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,5,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,6,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,7,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,8,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,9,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,10,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,11,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,12,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,13,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,14,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,15,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,16,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,17,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,18,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,19,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,20,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,21,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,22,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,23,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,24,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,25,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,26,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,27,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,28,Victory,1.54,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,29,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","violet",rich,1,30,Victory,1.86,100.00,"",0.00,0.00,0.00,0.00
"Страж","sasha",poor,1,1,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,2,Defeat,4.02,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,3,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,4,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,5,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,6,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,7,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,8,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,9,Defeat,4.02,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,10,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,11,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,12,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,13,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,14,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,15,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,16,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,17,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,18,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,19,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,20,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,21,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,22,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,23,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,24,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,25,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,26,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,27,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,28,Defeat,4.18,0.00,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,29,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",poor,1,30,Defeat,3.34,0.00,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,1,Victory,5.52,87.59,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,2,Victory,5.10,89.05,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,3,Victory,6.78,74.45,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,4,Victory,6.78,79.56,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,5,Victory,5.10,86.13,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,6,Victory,5.10,86.86,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,7,Victory,6.36,85.40,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,8,Victory,5.10,87.59,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,9,Victory,6.78,73.72,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,10,Victory,6.36,81.75,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,11,Victory,5.52,84.67,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,12,Victory,7.64,72.99,"Страж поднимает щит:2",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,13,Victory,5.10,86.86,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,14,Victory,6.36,82.48,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,15,Victory,5.52,83.94,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,16,Victory,5.52,84.67,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,17,Victory,5.52,86.13,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,18,Victory,7.22,78.83,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,19,Victory,6.78,75.91,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,20,Victory,7.22,81.02,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,21,Victory,5.10,87.59,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,22,Victory,5.10,86.13,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,23,Victory,6.36,78.83,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,24,Victory,5.10,88.32,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,25,Victory,5.52,87.59,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,26,Victory,5.52,86.86,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,27,Victory,6.36,83.21,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,28,Victory,5.52,87.59,"",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,29,Victory,5.94,78.10,"Страж поднимает щит:1",100.00,0.00,0.00,0.00
"Страж","sasha",mid,1,30,Victory,5.10,89.05,"",100.00,0.00,0.00,0.00
"Страж","sasha",rich,1,1,Victory,2.48,98.17,"",0.00,0.00,0.00,0.00
"Страж","sasha",rich,1,2,Victory,2.48,98.17,"",0.00,0.00,0.00,0.00
